Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dean Wade,PF,27,CLE,10,4,18.7,1.0,3.1,0.323,0.9,2.9,0.31,0.1,0.2,0.5,0.468,0.2,0.4,0.5,0.7,2.7,3.4,0.7,0.6,0.3,0.4,2.2,3.1
Franz Wagner,SF,22,ORL,11,11,33.5,6.7,16.5,0.409,1.7,5.6,0.306,5.0,10.8,0.462,0.461,3.1,3.6,0.85,1.3,4.4,5.6,3.4,1.0,0.3,2.1,2.3,18.3
Moritz Wagner,C,26,ORL,11,0,19.1,4.5,7.1,0.628,0.6,1.8,0.35,3.8,5.3,0.724,0.673,2.0,2.5,0.815,1.5,3.1,4.5,1.0,0.5,0.5,1.4,2.7,11.5
Jabari Walker,SF,21,POR,11,0,15.3,2.4,4.9,0.481,0.6,1.8,0.35,1.7,3.1,0.559,0.546,1.1,1.4,0.8,1.1,2.8,3.9,0.5,0.9,0.7,0.8,2.0,6.5
Jarace Walker,PF,20,IND,3,0,9.0,1.3,4.0,0.333,0.0,0.7,0.0,1.3,3.3,0.4,0.333,0.7,0.7,1.0,0.3,2.0,2.3,1.7,0.3,0.3,0.0,0.7,3.3
Lonnie Walker IV,SG,25,BRK,10,0,21.2,5.5,10.8,0.509,2.3,5.0,0.46,3.2,5.8,0.552,0.616,1.7,2.2,0.773,0.1,2.8,2.9,2.1,0.7,0.5,1.2,0.9,15.0
Cason Wallace,SG,20,OKC,11,1,22.4,3.1,4.7,0.654,1.0,1.8,0.55,2.1,2.9,0.719,0.76,0.7,0.7,1.0,0.5,2.0,2.5,1.6,0.6,0.5,0.6,1.8,7.9
P.J. Washington,PF,25,CHO,10,10,33.0,6.9,14.3,0.483,1.7,5.2,0.327,5.2,9.1,0.571,0.542,1.7,2.3,0.739,1.3,4.2,5.5,2.1,0.4,0.6,1.3,2.6,17.2
Yuta Watanabe,SF,29,PHO,11,0,19.4,1.8,4.7,0.385,1.4,3.7,0.366,0.5,1.0,0.455,0.529,0.5,0.6,0.857,0.5,2.2,2.7,0.7,0.4,0.4,0.9,1.8,5.5
Trendon Watford,PF,23,BRK,6,0,12.3,2.3,4.3,0.538,0.3,0.8,0.4,2.0,3.5,0.571,0.577,1.0,1.0,1.0,1.0,2.5,3.5,2.0,0.7,0.2,1.0,1.8,6.0
Peyton Watson,SF,21,DEN,11,0,14.5,2.1,3.7,0.561,0.4,1.2,0.308,1.7,2.5,0.679,0.61,0.3,0.5,0.5,0.3,1.5,1.7,0.6,0.5,1.0,0.5,1.3,4.8
Victor Wembanyama,PF,20,SAS,11,11,30.0,6.9,16.0,0.432,1.5,5.5,0.283,5.4,10.5,0.509,0.48,3.3,4.3,0.766,2.1,7.2,9.3,2.5,1.0,2.4,3.9,2.5,18.6
Blake Wesley,SG,20,SAS,3,0,6.0,1.0,2.7,0.375,0.0,0.3,0.0,1.0,2.3,0.429,0.375,0.3,0.7,0.5,0.3,0.3,0.7,1.0,0.0,0.3,0.3,0.7,2.3
Russell Westbrook,PG,35,LAC,10,10,30.7,6.0,12.9,0.465,1.0,3.2,0.313,5.0,9.7,0.515,0.504,1.0,1.7,0.588,1.5,5.5,7.0,5.7,1.9,0.3,3.3,2.9,14.0
Coby White,PG,23,CHI,12,12,31.8,4.4,11.6,0.381,1.8,5.7,0.309,2.7,5.9,0.451,0.457,1.4,1.8,0.81,0.3,2.6,2.8,4.1,1.1,0.3,1.7,2.7,12.0
Derrick White,SG,29,BOS,9,9,30.7,4.7,9.6,0.488,2.3,5.4,0.429,2.3,4.1,0.568,0.61,2.4,3.0,0.815,0.8,2.9,3.7,4.6,1.0,1.0,1.3,2.2,14.1
Cam Whitmore,SF,19,HOU,3,0,7.7,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.3,0.7,0.5,0.0,1.0,1.0,0.3,0.3,0.0,0.7,0.3,2.3
Aaron Wiggins,SG,25,OKC,9,0,10.7,1.6,3.0,0.519,0.3,1.1,0.3,1.2,1.9,0.647,0.574,0.3,0.4,0.75,0.2,1.1,1.3,0.6,0.3,0.1,0.4,1.0,3.8
Andrew Wiggins,SF,28,GSW,12,12,26.1,4.3,10.8,0.395,0.4,2.8,0.152,3.8,8.0,0.479,0.415,1.5,3.0,0.5,1.9,2.1,4.0,0.9,0.4,0.4,1.6,2.4,10.4
Grant Williams,PF,25,DAL,12,12,28.9,3.8,7.9,0.474,2.7,5.4,0.492,1.1,2.5,0.433,0.642,1.0,1.6,0.632,0.8,2.6,3.4,1.5,0.3,0.7,0.9,2.5,11.2
Jalen Williams,PF,22,OKC,11,11,32.8,6.5,12.3,0.526,1.1,3.0,0.364,5.4,9.3,0.578,0.57,3.3,3.8,0.857,0.3,3.7,4.0,3.5,0.7,0.3,2.3,3.1,17.3
Jaylin Williams,C,21,OKC,6,0,14.5,1.3,3.8,0.348,0.7,2.5,0.267,0.7,1.3,0.5,0.435,0.8,1.0,0.833,0.3,3.3,3.7,1.5,0.7,0.3,0.5,2.2,4.2
Jeenathan Williams,SG,24,HOU,2,0,6.5,2.0,3.5,0.571,0.0,1.0,0.0,2.0,2.5,0.8,0.571,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,4.5
Patrick Williams,PF,22,CHI,12,6,23.8,2.1,6.3,0.329,0.8,3.1,0.27,1.3,3.3,0.385,0.395,1.3,1.7,0.8,0.6,3.0,3.6,1.3,1.1,0.9,1.0,1.7,6.3
